Latitude,Longitude,Rest/ Bar Rating,Average Distance_Bar,Average Distance_Gym
46.787372378242026,-71.26640411543272,"0    8.1
1    7.7
2    7.9
3    5.8
4    NaN
5    NaN
6    5.6
7    NaN
8    7.7
9    7.6
Name: rating, dtype: float64",394.2,692.8
46.82497869,-71.2347588,"0    8.6
1    9.0
2    8.7
3    8.2
4    7.7
5    9.1
6    8.1
7    8.2
8    8.6
9    7.9
Name: rating, dtype: float64",525.3,668.6
46.80106563508459,-71.23540046142958,"0    7.9
1    NaN
2    NaN
3    9.0
4    7.7
5    8.3
6    6.2
7    8.9
8    8.3
9    8.6
Name: rating, dtype: float64",561.3,682.3
46.79331896116916,-71.25832027273796,"0    8.1
1    8.2
2    6.8
3    NaN
4    NaN
5    6.4
6    6.9
7    6.4
8    NaN
9    NaN
Name: rating, dtype: float64",185.7,380.2
46.8070057051584,-71.2360961572326,"0    8.1
1    6.1
2    9.2
3    8.5
4    8.6
5    9.1
6    7.7
7    7.8
8    8.0
9    9.0
Name: rating, dtype: float64",498.9,698.0
46.840967,-71.232018,"0    NaN
1    NaN
2    NaN
3    NaN
4    NaN
5    NaN
6    7.1
7    7.4
8    NaN
9    NaN
Name: rating, dtype: float64",409.5,788.0
46.8089957905064,-71.22241758851497,"0    8.8
1    9.0
2    8.9
3    8.4
4    9.1
5    8.5
6    9.0
7    7.9
8    8.8
9    8.6
Name: rating, dtype: float64",232.9,559.7
46.81788381582096,-71.21899632428105,"0    8.9
1    9.0
2    7.9
3    9.2
4    8.5
5    8.6
6    8.9
7    8.6
8    9.1
9    8.8
Name: rating, dtype: float64",454.0,531.5
46.80985414622597,-71.23170705961607,"0    9.1
1    9.2
2    9.0
3    8.6
4    8.6
5    9.0
6    9.0
7    8.8
8    9.0
9    8.8
Name: rating, dtype: float64",439.8,0.0
46.801147339783896,-71.23864794599436,"0    7.9
1    7.7
2    7.8
3    NaN
4    6.9
5    NaN
6    6.2
7    NaN
8    9.0
9    5.7
Name: rating, dtype: float64",438.5,520.7
46.836559019801065,-71.21610130059433,"0    8.3
1    7.2
2    7.1
3    NaN
4    NaN
5    NaN
6    5.8
7    NaN
8    NaN
9    NaN
Name: rating, dtype: float64",488.6,888.6666666666666
46.81231722364255,-71.24216566311739,"0    8.0
1    8.1
2    7.1
3    8.6
4    9.2
5    8.0
6    8.5
7    9.1
8    7.8
9    7.4
Name: rating, dtype: float64",545.9,0.0
46.807752157533336,-71.21574255155943,"0    8.8
1    7.9
2    8.3
3    8.5
4    8.2
5    8.9
6    9.0
7    8.9
8    9.1
9    8.9
Name: rating, dtype: float64",259.6,589.1
46.806292,-71.221078,"0    8.5
1    9.3
2    8.9
3    8.8
4    9.0
5    8.4
6    8.9
7    7.9
8    8.5
9    8.3
Name: rating, dtype: float64",296.7,514.4
46.81433964390105,-71.22489827203177,"0    8.6
1    8.5
2    9.0
3    8.8
4    8.9
5    8.6
6    9.0
7    8.4
8    7.9
9    9.0
Name: rating, dtype: float64",345.0,517.5
46.8166055540926,-71.24165805506132,"0    8.6
1    7.9
2    7.8
3    8.6
4    9.2
5    7.4
6    8.0
7    8.5
8    9.1
9    7.8
Name: rating, dtype: float64",663.5,688.5714285714286
46.7832051319681,-71.27618881391905,"0    7.6
1    NaN
2    8.4
3    8.1
4    7.1
5    NaN
6    7.9
7    8.1
8    8.6
9    7.7
Name: rating, dtype: float64",602.4,678.5
46.81154761011568,-71.23538839148901,"0    8.6
1    9.2
2    8.0
3    8.5
4    9.1
5    7.8
6    8.4
7    8.1
8    9.0
9    7.9
Name: rating, dtype: float64",223.1,674.3
46.8123909612413,-71.22577898939863,"0    8.8
1    9.0
2    8.6
3    8.9
4    8.6
5    9.0
6    8.5
7    8.4
8    7.9
9    8.8
Name: rating, dtype: float64",268.5,529.0
