Name,Latitude,Longitude,Number of Free Bikes,Rest/Bar Rating(FS),Average Distance_Bar_x,Average Distance_Gym_x,Rest/Bar Rating(YELP),Average Distance_Bar_y,Average Distance_Gym_y
Saint-Joseph / Saint-Anselme,46.81258598277751,-71.22973499957455,7,"0    9.0
1    7.9
2    8.4
3    8.9
4    9.0
5    8.6
6    9.1
7    8.8
8    8.5
9    9.2
Name: rating, dtype: float64",191.4,0.0,"0     4.5
1     4.5
2     4.0
3     4.5
4     4.0
5     4.5
6     5.0
7     4.5
8     4.5
9     4.5
10    5.0
11    4.5
12    4.0
13    4.0
14    5.0
15    4.5
16    4.5
17    4.0
18    4.5
19    4.0
Name: rating, dtype: float64",375.92040625345953,0.0
Hélène-Boullé / Du Bon-Air,46.78938334025807,-71.26476528572462,5,"0    8.1
1    7.7
2    7.9
3    NaN
4    5.6
5    5.8
6    NaN
7    NaN
8    NaN
9    7.7
Name: rating, dtype: float64",406.6,789.9,"0     4.0
1     4.5
2     3.0
3     3.5
4     4.0
5     4.0
6     4.5
7     4.5
8     3.5
9     4.5
10    3.0
11    5.0
12    5.0
13    2.5
14    4.0
15    2.5
16    4.0
17    3.5
18    3.0
19    3.0
Name: rating, dtype: float64",914.4613291192212,1108.6797464352278
Saint-Germain / Boisseau,46.80927496016057,-71.23850645946882,10,"0    8.1
1    9.2
2    8.6
3    8.0
4    8.5
5    8.0
6    6.1
7    9.1
8    7.8
9    7.7
Name: rating, dtype: float64",381.6,625.9,"0     4.5
1     4.5
2     4.0
3     4.5
4     4.5
5     5.0
6     4.5
7     4.5
8     4.0
9     5.0
10    4.5
11    4.5
12    4.0
13    4.5
14    4.5
15    4.5
16    4.5
17    4.5
18    4.0
19    4.0
Name: rating, dtype: float64",793.092795129672,0.0
YMCA Saint-Roch,46.813662299909325,-71.21920394229315,6,"0    9.0
1    8.5
2    8.6
3    9.1
4    8.8
5    9.0
6    8.9
7    8.9
8    9.2
9    9.0
Name: rating, dtype: float64",418.0,0.0,"0     4.0
1     4.0
2     5.0
3     4.5
4     4.5
5     4.0
6     4.5
7     4.5
8     4.0
9     4.5
10    4.0
11    4.5
12    4.5
13    4.5
14    4.0
15    4.5
16    4.5
17    4.5
18    4.0
19    4.0
Name: rating, dtype: float64",551.0579430607211,429.2240881690772
Fraser / Cartier,46.803790282177374,-71.22581692861937,18,"0    8.3
1    8.6
2    8.2
3    8.4
4    8.3
5    9.0
6    8.9
7    9.0
8    8.5
9    9.3
Name: rating, dtype: float64",247.4,0.0,"0     4.5
1     4.5
2     5.0
3     4.5
4     4.0
5     5.0
6     4.0
7     3.5
8     4.5
9     4.5
10    4.5
11    4.5
12    4.0
13    4.5
14    3.5
15    4.5
16    4.5
17    4.0
18    4.5
19    4.5
Name: rating, dtype: float64",391.7214083570571,0.0
Collège Mérici,46.79652641037149,-71.2328549657563,10,"0    NaN
1    6.2
2    NaN
3    8.9
4    NaN
5    NaN
6    NaN
7    7.9
8    7.3
9    9.0
Name: rating, dtype: float64",548.0,753.2,"0     4.5
1     4.0
2     4.5
3     5.0
4     4.5
5     4.5
6     4.0
7     4.0
8     4.5
9     3.5
10    4.5
11    3.5
12    4.5
13    5.0
14    4.0
15    4.0
16    2.0
17    3.5
18    3.0
19    3.5
Name: rating, dtype: float64",892.3524669316054,0.0
Bibliothèque Collège-des-Jésuites,46.795135745934,-71.2434363596382,8,"0    NaN
1    8.8
2    7.9
3    NaN
4    6.2
5    NaN
6    NaN
7    NaN
8    NaN
9    6.9
Name: rating, dtype: float64",505.3,630.3,"0     5.0
1     4.5
2     3.5
3     4.5
4     5.0
5     4.0
6     2.0
7     2.5
8     4.0
9     2.5
10    1.0
Name: rating, dtype: float64",838.871260904256,0.0
ULaval - Alphonse-Desjardins,46.7795830939878,-71.2706339590492,7,"0    NaN
1    NaN
2    NaN
3    8.1
4    8.5
5    8.1
6    7.7
7    7.9
8    7.8
9    NaN
Name: rating, dtype: float64",676.5,621.3333333333334,"0     3.5
1     4.0
2     4.0
3     3.5
4     3.5
5     3.5
6     3.0
7     4.0
8     3.0
9     4.0
10    3.0
11    4.0
12    4.0
13    4.5
14    5.0
15    4.0
16    3.0
17    5.0
18    3.5
19    2.5
Name: rating, dtype: float64",1025.7931545674835,779.3036327157901
Cégep Garneau,46.79273110396984,-71.26363071131132,6,"0    NaN
1    7.7
2    8.1
3    8.2
4    NaN
5    8.1
6    6.8
7    7.7
8    7.9
9    NaN
Name: rating, dtype: float64",527.8,575.0,"0     4.5
1     4.0
2     3.5
3     3.0
4     3.5
5     4.0
6     4.5
7     4.0
8     5.0
9     2.5
10    3.0
11    4.0
12    3.0
13    2.5
14    1.0
Name: rating, dtype: float64",678.2963657317669,0.0
Hôtel de Ville,46.81392938372159,-71.20884793328665,0,"0    8.4
1    8.2
2    8.6
3    8.3
4    8.7
5    8.0
6    8.8
7    8.8
8    9.2
9    9.1
Name: rating, dtype: float64",211.6,552.5555555555555,"0     4.0
1     4.5
2     4.5
3     4.0
4     4.5
5     4.5
6     4.0
7     4.0
8     4.0
9     4.0
10    3.5
11    4.5
12    4.5
13    4.0
14    4.0
15    4.5
16    4.0
17    4.0
18    4.5
19    4.0
Name: rating, dtype: float64",267.72385795870355,641.7246733166994
