Name,Latitude,Longitude,Number of Free Bikes
80 Clinton St,43.656296,-79.414663,2
Claremont St / Dundas St W,43.651281,-79.411717,2
Rusholme Park Cres / College St,43.65277778,-79.42972222,3
College St / Crawford St,43.655,-79.418889,2
Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,15
Queen St E / Alton Av,43.663912,-79.327987,17
Simcoe St / Wellington St W North,43.6462176,-79.3855048,14
Coxwell Ave / Plains Rd,43.69595,-79.328535,5
Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,1
Logan Ave / Bain Ave,43.6720273,-79.3470557,1
Liberty St / Fraser Ave Green P,43.637981,-79.424146,18
King St W / Douro St,43.640885,-79.416379,7
Queen St E / Berkeley St,43.6552778,-79.36583333333333,2
Howard St / Sherbourne St,43.6712581,-79.376367,10
Carlton St / Parliament St,43.664524,-79.36793,16
Sumach St / Carlton St (Riverdale Farm),43.665867,-79.362506,1
King St W / Bay St (East Side),43.648575,-79.380042,10
Front St W / Blue Jays Way,43.643473,-79.390477,5
Metro Hall Plaza,43.645859,-79.38783,15
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,9
Jarvis St / Carlton St,43.66207,-79.37617,3
Lake Shore Blvd E / Knox Ave,43.660206,-79.3244,8
Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162,11
Yonge St / Dundonald St - SMART,43.665801,-79.384796,1
Bay St / Charles St W - SMART,43.668153,-79.38891,3
Church St / Dundas St E - SMART,43.657024,-79.377257,10
Yonge St / Alexander St - SMART,43.662862,-79.383572,2
Eglinton Ave W / Henning Ave SMART,43.7063473,-79.40161,3
Balliol St / Yonge St  SMART,43.6978701,-79.39419,8
Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,2
Front St E / Scott St,43.6476616,-79.37549,6
Frederick St / The Esplanade,43.6487245,-79.36839,16
King St W / Bay St (West Side),43.64852,-79.380576,34
Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,9
King St W / Spadina Ave,43.645323,-79.395003,18
Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,0
Queens Quay / Yonge St,43.641646,-79.375308,18
Front St W / Bay St (North Side),43.646162,-79.378912,8
Danforth Ave / Westlake Ave,43.687323,-79.304848,1
Jarvis St / Isabella St,43.668991,-79.379385,21
Yonge St / Wood St,43.6622222,-79.3825,14
King St W / Tecumseth St,43.64333333333333,-79.40555555555557,5
Beverley St / College St,43.6575,-79.39527777777778,22
Gould St / Yonge St (TMU),43.657424,-79.381019,18
Front St W / Bay St (South Side),43.64595,-79.378761,14
Charles St W / Balmuto St - SMART,43.668427,-79.38725,9
Charles St E / Jarvis St - SMART,43.669604,-79.381171,4
Queen St E / Pape Ave - SMART,43.661673,-79.337789,5
Gerrard St E / Broadview Ave  - SMART,43.665656,-79.352055,0
Humber Bay Shores Park East,43.6308933,-79.4722622,10
Humber Bay Shores Park West,43.6224434,-79.480284,23
Taddle Creek Park,43.66986,-79.398443,5
Thompson St / Broadview Ave - SMART,43.659471,-79.350325,8
Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,2
Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223,8
King St W / Cowan Ave - SMART,43.637922,-79.431734,1
Garden Ave / Roncesvalles Ave,43.643769,-79.447915,16
Sorauren Ave / Geoffrey St - SMART,43.649172,-79.4445087,5
Bloor St W / Manning Ave - SMART,43.663912,-79.416124,1
Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,3
Berkeley St / Dundas St E - SMART,43.658816,-79.367318,2
128 Sterling Rd - SMART,43.654004,-79.444792,5
Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,16
Sackville St / Eastern Ave - SMART,43.653809,-79.3595,4
Davenport Rd / McAlpine St - SMART,43.673768,-79.391253,5
Sumach St  / Queen St E,43.656638,-79.358749,0
Blythwood Rd / Yonge St - SMART,43.716652,-79.399993,3
Gerrard St E / Main St,43.684261,-79.299332,4
Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,1
Neil McLellan Park,43.65143,-79.47779,4
Jane St / Bloor St W (Jane Subway Station),43.64976,-79.48477,3
Antler St / Campbell Ave - SMART,43.664182,-79.449066,0
Clarence Square,43.64407,-79.3929,21
Lake Shore Blvd W / Louisa St,43.61868,-79.48674,4
Front St W / Simcoe St,43.6442,-79.38702,13
Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,0
Glendonwynne Rd / Bloor St W,43.65182,-79.47421,15
Russell Hill Rd / St Clair Ave W,43.685569,-79.408019,1
Church St / Lombard St,43.651678,-79.375233,11
Richmond St E / Yonge St,43.651838,-79.378743,0
Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,3
Pottery Rd / Lower Don River Trail,43.688148,-79.362101,14
Bleecker St / St James Ave,43.669232,-79.374495,2
Western Battery Rd / Pirandello St,43.640075,-79.414156,0
Carlaw Ave / Danforth Ave,43.678285,-79.347346,4
Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,1
Goodwood Park Crt / Dentonia Park,43.694826,-79.295208,8
Eastwood Rd / Coxwell Ave,43.673118,-79.318651,16
Trent Ave / Danforth Ave,43.689293,-79.295895,8
Orchard Park,43.66908,-79.3149,8
Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,0
Concord Ave / Bloor St W,43.66189,-79.42679,1
Gothic Ave / Quebec Ave,43.65389,-79.4675,1
Via Italia / Mackay Ave,43.676697,-79.445029,2
Rushton Rd / St Clair Ave W,43.68114,-79.4277,1
Dundas St E / Boulton Ave - SMART,43.663148,-79.347938,8
Gerrard St E / Leslie St,43.669813,-79.3335,18
Marilyn Bell Park Tennis Court,43.633537,-79.437461,10
The Queensway at South Kingsway,43.63632,-79.47307,8
Merton St / Mount Pleasant Rd,43.697819,-79.38786,7
Tyndall Ave / King St W - SMART,43.638426,-79.429142,13
College Park - Yonge St Entrance,43.65988,-79.38279,17
Barton Ave / Howland Ave - SMART,43.66842,-79.410585,10
Keele St / Annette St,43.66402,-79.46418,0
Keele St / Vine Ave,43.66686,-79.46526,13
Howard St / Rose Ave,43.671278,-79.372127,15
Little Norway Park,43.635023,-79.399505,9
Isabella St / Church St,43.66834,-79.38235,10
University Ave / Armoury St,43.65263,-79.38766,12
Lascelles Blvd / Eglinton Ave W,43.70547,-79.40355,3
Polson Pier,43.641675,-79.354006,10
Dentonia Park,43.694341,-79.291416,3
Lower Jarvis St / Queens Quay E,43.64422,-79.36927,12
Summerhill Ave / Maclennan Ave,43.685924,-79.376304,2
Queens Quay E / Lower Sherbourne St,43.645215,-79.364898,19
Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,3
Ellis Ave / The Queensway,43.63855,-79.46693,7
High Park - Grenadier Cafe,43.645599,-79.4657123,0
Winona Dr / Davenport Rd,43.674923,-79.430465,0
Danforth Ave / Aldridge Ave,43.684758,-79.316767,1
Dundonald St / Church St,43.66663,-79.38148,19
Gerrard St E / Malvern Ave - SMART,43.685221,-79.294766,9
Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,11
Queens Quay W / Lower Simcoe St,43.63951,-79.383717,18
Bremner Blvd / Rees St,43.641529,-79.386741,9
King St W / Crawford St,43.6417852,-79.4131148,11
Yonge St / Dundas Sq,43.655766,-79.3802,25
St Clair Ave W / Winona Dr,43.680466,-79.432522,0
Bay St / Wellesley St W,43.664088,-79.387095,39
Humberside Grounds - SMART,43.65917,-79.46997,9
Bloor St E / Huntley St - SMART,43.671535,-79.379173,5
Wellington St W / York St,43.646734,-79.38301,5
Dalton Rd / Bloor St W,43.6662942,-79.4066433,3
Davenport Rd / Christie St,43.675278,-79.423889,1
King St W / Jordan St,43.648928,-79.378623,10
E.T. Seton Park (Eglinton Ave E / Leslie St),43.715951,-79.351246,15
Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711,18
King St W / Charlotte St,43.645572,-79.39399,18
Jarvis St / Richmond St E,43.652777,-79.372637,13
Symington Ave / Dupont St,43.665538,-79.451263,1
King St E / Jarvis St,43.650325,-79.372287,14
Bay St / Bloor St W (East Side),43.66943,-79.38915,9
Bay St / Bloor St W (West Side),43.669244,-79.3894,9
Wells Hill Ave / St Clair Ave W,43.683351,-79.41562,0
Dundas St E / George St,43.6574766,-79.373446,3
Fleet St / Bathurst St,43.636611,-79.400042,10
Tecumseth St / Queen St W - SMART,43.646552,-79.406468,0
Briar Hill Ave / Yonge St - SMART,43.713524,-79.400162,1
King St E / Church St,43.65003919999999,-79.3733541,4
Bay St / Albert St,43.653264,-79.382458,29
Wellesley St W / Queen's Park Cres,43.663376,-79.392125,11
Bay St / College St (East Side),43.660439,-79.385525,6
University Ave / College St (West),43.659226,-79.390213,2
University Ave / College St (East),43.65995,-79.38964,3
Queen's Park Cres E / Grosvenor St - SMART,43.661803,-79.389682,1
Bay St / College St (West Side) - SMART,43.660087,-79.385655,11
Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,11
Humber Bay Shores Park / Marine Parade Dr,43.626265,-79.476723,26
Lake Shore Blvd W / Colborne Lodge Dr,43.63771,-79.458173,13
Ripley Ave / Ormskirk Ave,43.6390437,-79.4760109,13
St Clarens Ave / Shirley St,43.6486599,-79.4376413,4
Lisgar Park,43.6423847,-79.4240277,1
Bartlett Parkette,43.6702236,-79.4360232,1
Sherbourne St N / Elm Ave,43.6752732,-79.3778458,10
Walnut Ave / Queen St W,43.645469,-79.411084,12
Vaughan Rd /Wychwood Ave,43.6882821,-79.4253856,4
Palmerston Ave / Dundas St W,43.651603,-79.408346,0
541 Huron St - SMART,43.670206,-79.402643,5
Euclid Ave / Herrick St - SMART,43.661559,-79.413845,2
Baldwin St / Henry St,43.6560758,-79.393259,14
Orde St / McCaul St,43.6580442,-79.3927404,0
Ross St / Cecil St - SMART,43.6568254,-79.3966159,11
Lake Shore Blvd W / Thirty Ninth Street,43.5927419,-79.54033009999999,11
Lake Shore Blvd W / Twenty Fourth St,43.597082,-79.522768,13
Windsor St / Newcastle St,43.6171635,-79.4971065,9
Royal York Rd / Mimico Ave,43.612063,-79.496573,10
Berry Rd / Bell Manor Dr,43.63732,-79.489083,0
Humber College,43.5961692,-79.5160575,5
Amos Waites Park,43.613606,-79.4883535,21
Priscilla  Ave / Dundas St W,43.664665,-79.489385,13
Durie St / Dundas St W,43.665523,-79.484892,12
St Clair Ave W / Castleton Ave,43.668496,-79.485426,15
Weston Lions Park,43.698841,-79.519472,8
Annette St / Jane St,43.658574,-79.487246,9
Jameson Ave / Queen St W,43.63985,-79.43703,7
Carlaw Ave / Dundas St E,43.665076,-79.341509,9
Toronto Inukshuk Park,43.6323994,-79.40978179999999,33
Cosburn Ave / Durant Ave,43.6935477,-79.3301658,7
Swansea Community Centre,43.6438036,-79.4770327,0
Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528,0
Bayview Ave / Lawren Harris Square,43.6548521,-79.35397680000001,11
The Queensway / High St,43.630874,-79.482407,13
Symington Ave / Davenport Rd,43.6704403,-79.45328549999999,2
Front St E / Bayview Avenue,43.6535,-79.354068,8
Oak St / Sumach St,43.6617908,-79.361515,6
The Esplanade / Hahn Pl,43.649709,-79.364184,16
439 Sherbourne St,43.666051,-79.374161,10
Glebe Rd W / Yonge St,43.7005976,-79.397345,8
Hillsdale Ave W / Yonge St,43.7029672,-79.3979073,11
Alvin Ave / St Clair Ave E,43.68871,-79.39264,0
Eglinton Ave W / Scarlett Rd,43.6834703,-79.5108942,10
The Pond Rd / Sentinel Rd,43.7696262,-79.5025943,0
Sentinel Rd / Finch Corridor Trail,43.7641485,-79.5012809,6
Finch West Subway Station,43.76521,-79.491281,1
Dufferin St / Finch Corridor Trail,43.7724019,-79.4675395,9
G Ross Lord Park,43.7781116,-79.467963,4
Elwood Blvd / Avenue Rd,43.707049,-79.40966,0
Roehampton Ave / Bayview Ave,43.711751,-79.378615,0
Teddington Park Ave,43.732975,-79.40401,1
Ursula Franklin St / Huron St - SMART,43.660274,-79.398049,10
Woodbine Ave / O'Connor Dr,43.699281,-79.318802,3
Dawes Rd / Taylor Creek Trl,43.696631,-79.297436,2
Queen St W / John St,43.650077,-79.391291,18
Fairmount Park,43.6765897,-79.3163022,14
Richmond St W / York St,43.650745,-79.383633,10
Sunnybrook Park,43.720233,-79.362092,0
Vaughan Rd / Oakwood Ave,43.6926825,-79.441042,7
Braemar Ave / Eglinton Ave W,43.7041957,-79.4094472,0
Eglinton Ave E / Redpath Ave,43.7078691,-79.39248,0
Marie Curtis Park,43.5880774,-79.5432067,14
Guildwood GO Station (South),43.754978,-79.1971289,6
Chorley Park - SMART,43.6856,-79.3718,3
Cherry Beach,43.637764,-79.345359,15
Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,28
Ursula Franklin St / St. George St - SMART,43.660296,-79.397107,6
Rouge Hill GO Station,43.7805505,-79.1301203,8
Colonel Danforth Park,43.7777114,-79.1659711,10
Morningside Park (Highland Creek Trail),43.779353,-79.193023,8
Livingston Rd / Guildwood Pkwy,43.747854,-79.199327,10
Livingston Rd (Highland Creek Trail),43.7561681,-79.2026694,2
Twelfth St / Thirteenth St,43.6002896,-79.5108692,5
Florence Gell Park,43.6615467,-79.498398,2
Wallace Ave / Pauline Ave,43.6632257,-79.4397052,1
Kingston Rd / Beech Ave,43.680095,-79.291714,5
Victoria Park Ave / Danforth Ave,43.691468,-79.288619,8
Union Station,43.645609,-79.380386,21
Hayter St / La Plante Ave,43.6591666666667,-79.3855555555556,15
Seaton St / Dundas St E - SMART,43.658777,-79.369596,10
Lundy Ave / Étienne Brûlé Park,43.6625395,-79.5030161,7
Chiltern Hill Rd / Eglinton Ave W,43.7004017,-79.4275305,0
Torresdale Ave / Antibes Dr,43.77953,-79.45233,4
Esther Shiner Stadium,43.7774374,-79.4447096,5
St. George St / Hoskin Ave,43.6637403,-79.39806449999999,4
Fleming Cres / Bayview Ave,43.707045,-79.375437,1
King St E / Victoria St,43.6495789,-79.3762096,6
Alameda Ave / Vaughan Rd - SMART,43.690903,-79.4375028,3
Adelaide St W / Strachan Ave,43.643253094827294,-79.41230469904167,1
Royal York Rd / Lake Shore Blvd W,43.6029904,-79.4926867,3
Runnymede Rd / Annette St,43.6596299,-79.4799176,3
Salem Ave / Bloor St W,43.6608333,-79.43166666666667,0
Dufferin St / Bloor St W,43.66083333333333,-79.43583333333333,1
Davisville Ave / Pailton Cres,43.69933,-79.39199,9
High Park Ave / Dundas St W,43.6653032,-79.4701178,10
Judson St / Royal York Rd,43.6162721,-79.4990363,5
Wilket Creek Park,43.720645,-79.355474,9
Annette St / Dundas St W,43.6641174,-79.4588522,13
Noble St / Queen St W,43.6424558,-79.4296346,0
Oriole Pkwy / Kilbarry Rd,43.6954486,-79.4026176,6
East Lynn Ave / Danforth Ave,43.6850809,-79.3149901,2
Langford Ave / Danforth Ave - SMART,43.6800218,-79.3405681,2
University of Toronto Scarborough,43.7842419,-79.1849889,9
190 Queens Quay E,43.6451308,-79.36536439999999,12
324 Cherry St,43.6482995,-79.3552533,17
Elm St/ University Ave (East Side),43.65637299999999,-79.38781039999999,10
Walton St / Elizabeth St - SMART,43.657838,-79.38631,16
Waterfront Trail (Rouge Hill),43.778015,-79.131911,0
St Clair Ave W / Gunns Rd,43.672079,-79.470171,11
Pape Ave / Gamble Ave,43.690237,-79.350119,5
Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,4
Church St / Bloor St E,43.671389,-79.382919,7
200 Bloor St E,43.671561,-79.38117,1
Moore Park,43.693256,-79.383238,2
Bloor St W / Pacific Ave,43.65412449999999,-79.4636388,6
Danforth Ave / Dewhurst Blvd,43.680207,-79.339243,1
Bloor St W / Brock Ave,43.6589882,-79.438715,1
Davenport Rd / Dovercourt Rd - SMART,43.6741219,-79.4352208,2
1 Market St - SMART,43.6469928,-79.3706665,10
Brick Works,43.683884,-79.36647,24
University Ave / Gerrard St W (WEST) - SMART,43.6578449,-79.3899265,14
University Ave / King St W - SMART,43.6477785,-79.3847928,20
Amroth Ave / Danforth Ave,43.6856128,-79.31168269999999,2
Summerhill Subway Station,43.681944,-79.390556,7
Niagara St / Richmond St W,43.64534,-79.409597,16
Beaty Ave / Queen St W,43.6393107,-79.4408141,13
Blantyre Park,43.68306889999999,-79.279682,9
Queen St E / Rushbrooke Ave,43.6626628,-79.3323698,5
Donlands Subway Station,43.681114,-79.3373885,3
Lynn Williams St / East Liberty St - SMART,43.638925,-79.4168659,15
Eastwood Rd / Woodbine Ave - SMART,43.676216,-79.309395,4
285 Victoria St,43.656633,-79.379625,19
Gerrard St E / Victoria Park Ave - SMART,43.686962,-79.286864,15
Kilgour Rd / Rumsey Rd,43.718039,-79.371914,4
Bay St / Scollard St,43.672152,-79.39018,7
Weston Rd / St Clair Ave W - SMART,43.673019,-79.467994,14
Sunnybrook Health Centre - L Wing,43.72268,-79.37644,9
Dundas St W / St Helen's Ave - SMART,43.6504218,-79.4407647,0
Yonge St / St Clair Ave,43.68850459999999,-79.3940052,0
Spadina Ave / Blue Jays Way,43.641705,-79.393295,3
Bloor St W / Riverside Dr,43.647663,-79.487583,1
Sunnybrook Health Centre - S Wing,43.720998,-79.377456,6
Yonge St / Woburn Ave - SMART,43.72814640000001,-79.4032194,3
Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,10
Queen St W / Dovercourt Rd,43.6438602,-79.4227573,3
King's Mill Park,43.64920406876699,-79.49336334201408,27
University Ave / Richmond St W,43.6503935,-79.3860211,32
135 Queens Wharf Rd - SMART,43.6399714,-79.39940399999999,8
406 Oakwood Ave,43.68827060022711,-79.43937767081853,5
Granby St / Church St - SMART,43.6614605,-79.37894570000002,0
Lumsden Ave / Eastdale Ave,43.69413548199171,-79.30058718775287,6
Yonge St / Lawrence Ave E,43.7254665,-79.40115449999999,3
Yonge St / Orchard View Blvd,43.7083577,-79.39886200000001,17
Hanna Ave / Liberty St,43.63840090000001,-79.4197107,11
Lower Don River Trail and Taylor Creek Trail,43.7027268,-79.33368089999999,7
St Columba Pl / St Clair Ave E,43.70567,-79.310554,10
Strachan Ave / Princes' Blvd,43.635,-79.4088888888889,13
